127.0.0.1 - - [28/Mar/2023:22:49:00 +0530] "GET / HTTP/1.1" 404 752
127.0.0.1 - - [28/Mar/2023:22:49:02 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 8015
127.0.0.1 - - [28/Mar/2023:22:49:02 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:02 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:02 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 8015
127.0.0.1 - - [28/Mar/2023:22:49:02 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 8015
127.0.0.1 - - [28/Mar/2023:22:49:03 +0530] "GET /Blog/images/fevicon.png HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:03 +0530] "GET /images/favicon.png HTTP/1.1" 404 774
127.0.0.1 - - [28/Mar/2023:22:49:04 +0530] "GET /Blog/login.jsp HTTP/1.1" 200 7371
127.0.0.1 - - [28/Mar/2023:22:49:04 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:04 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:04 +0530] "GET /Blog/login.jsp HTTP/1.1" 200 7371
127.0.0.1 - - [28/Mar/2023:22:49:04 +0530] "GET /Blog/login.jsp HTTP/1.1" 200 7371
127.0.0.1 - - [28/Mar/2023:22:49:10 +0530] "POST /Blog/LoginServlet HTTP/1.1" 200 19363
127.0.0.1 - - [28/Mar/2023:22:49:10 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:10 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:10 +0530] "GET /Blog/LoginServlet HTTP/1.1" 405 752
127.0.0.1 - - [28/Mar/2023:22:49:10 +0530] "GET /Blog/LoginServlet HTTP/1.1" 405 752
127.0.0.1 - - [28/Mar/2023:22:49:14 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 8720
127.0.0.1 - - [28/Mar/2023:22:49:14 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:14 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:14 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 8720
127.0.0.1 - - [28/Mar/2023:22:49:14 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 8720
127.0.0.1 - - [28/Mar/2023:22:49:20 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:20 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:20 +0530] "GET /Blog/images/liked-icon.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Mar/2023:22:49:20 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:20 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:20 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:29 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:49:29 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:29 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:30 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:49:30 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:49:31 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:31 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:31 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:32 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:32 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:33 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:49:33 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:33 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:33 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:49:33 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:49:53 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:53 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:53 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:53 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:53 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:56 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:49:56 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:56 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:56 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:49:56 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:38 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:38 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:51:38 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
