127.0.0.1 - - [10/Apr/2023:23:55:34 +0530] "GET / HTTP/1.1" 404 752
127.0.0.1 - - [10/Apr/2023:23:55:41 +0530] "GET /Blog/login.jsp HTTP/1.1" 200 8068
127.0.0.1 - - [10/Apr/2023:23:55:41 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [10/Apr/2023:23:55:41 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [10/Apr/2023:23:55:41 +0530] "GET /Blog/login.jsp HTTP/1.1" 200 8068
127.0.0.1 - - [10/Apr/2023:23:55:41 +0530] "GET /Blog/login.jsp HTTP/1.1" 200 8068
127.0.0.1 - - [10/Apr/2023:23:55:42 +0530] "GET /Blog/images/fevicon.png HTTP/1.1" 404 783
127.0.0.1 - - [10/Apr/2023:23:55:42 +0530] "GET /images/favicon.png HTTP/1.1" 404 774
127.0.0.1 - - [10/Apr/2023:23:56:01 +0530] "POST /Blog/LoginServlet HTTP/1.1" 200 19363
127.0.0.1 - - [10/Apr/2023:23:56:01 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [10/Apr/2023:23:56:01 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [10/Apr/2023:23:56:01 +0530] "GET /Blog/LoginServlet HTTP/1.1" 405 752
127.0.0.1 - - [10/Apr/2023:23:56:01 +0530] "GET /Blog/LoginServlet HTTP/1.1" 405 752
127.0.0.1 - - [10/Apr/2023:23:56:15 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 7850
127.0.0.1 - - [10/Apr/2023:23:56:15 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [10/Apr/2023:23:56:15 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [10/Apr/2023:23:56:15 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 7850
127.0.0.1 - - [10/Apr/2023:23:56:15 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 7849
127.0.0.1 - - [10/Apr/2023:23:56:21 +0530] "POST /Blog/LikeServlet HTTP/1.1" 405 753
127.0.0.1 - - [10/Apr/2023:23:58:28 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 7850
127.0.0.1 - - [10/Apr/2023:23:58:28 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [10/Apr/2023:23:58:28 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [10/Apr/2023:23:58:28 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 7850
127.0.0.1 - - [10/Apr/2023:23:58:28 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 7850
127.0.0.1 - - [10/Apr/2023:23:59:24 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 7874
127.0.0.1 - - [10/Apr/2023:23:59:24 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [10/Apr/2023:23:59:25 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [10/Apr/2023:23:59:25 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 7874
127.0.0.1 - - [10/Apr/2023:23:59:25 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 7874
